area,bedrooms,bathrooms,location,house_age,parking,price,district,land_size,town
1600,3,1,Matara,8,2,5400000.0,Matara,50.0,Matara City
1480,3,3,Colombo,17,2,16800000.0,Colombo,8.0,Athurugiriya
2800,3,2,Gampaha,7,2,20000000.0,Gampaha,20.0,Kelaniya
4000,5,5,Colombo,47,2,187000000.0,Colombo,22.0,Colombo 6
3300,4,4,Colombo,8,2,55000000.0,Colombo,11.0,Talawatugoda
4100,4,4,Kandy,16,2,45000000.0,Kandy,10.0,Kandy City
1400,3,3,Colombo,47,2,16700000.0,Colombo,9.0,Piliyandala
4000,4,4,Colombo,31,2,50000000.0,Colombo,10.0,Talawatugoda
2000,3,1,Gampaha,5,2,16000000.0,Gampaha,3000.0,Kadawatha
5000,4,2,Gampaha,20,2,19500000.0,Gampaha,10.0,Gampaha City
1800,3,1,Kandy,22,2,11500000.0,Kandy,9.85,Katugastota
3100,4,3,Gampaha,10,2,26500000.0,Gampaha,10.5,Negombo
1900,4,2,Colombo,42,2,19000000.0,Colombo,11.4,Malabe
1100,3,1,Jaffna,4,2,11000000.0,Jaffna,80.0,Jaffna City
1250,3,2,Colombo,13,2,16500000.0,Colombo,7.5,Malabe
950,2,1,Colombo,32,1,6500000.0,Colombo,3.0,Rajagiriya
3000,4,5,Colombo,7,2,55000000.0,Colombo,11.0,Battaramulla
2900,4,3,Colombo,48,2,50000000.0,Colombo,20.5,Battaramulla
1400,3,2,Colombo,42,2,13500000.0,Colombo,15.0,Moratuwa
2900,4,2,Colombo,10,2,24500000.0,Colombo,7.42,Moratuwa
2880,4,2,Colombo,43,2,32500000.0,Colombo,21.5,Piliyandala
2042,5,4,Colombo,7,2,32500000.0,Colombo,7.5,Dehiwala
3200,4,3,Colombo,18,2,33000000.0,Colombo,8.0,Kottawa
2800,5,3,Colombo,40,2,28500000.0,Colombo,10.2,Homagama
2600,5,3,Gampaha,8,2,17000000.0,Gampaha,10.3,Minuwangoda
2882,4,4,Gampaha,39,2,31000000.0,Gampaha,12.5,Negombo
750,3,1,Galle,20,2,4500000.0,Galle,150.0,Elpitiya
1800,3,1,Colombo,23,2,14800000.0,Colombo,6.8,Malabe
2700,4,4,Colombo,50,2,27000000.0,Colombo,7.0,Kottawa
4200,4,4,Colombo,10,2,39500000.0,Colombo,12.0,Battaramulla
4000,8,6,Galle,39,4,32500000.0,Galle,11.0,Karapitiya
2000,6,5,Colombo,25,3,35000000.0,Colombo,10.0,Dehiwala
5000,6,5,Colombo,46,3,65000000.0,Colombo,27.5,Talawatugoda
1650,4,2,Colombo,24,2,36440000.0,Colombo,9.11,Colombo 9
3000,6,4,Colombo,2,3,40000000.0,Colombo,12.1,Ratmalana
4000,4,4,Colombo,18,2,49500000.0,Colombo,10.0,Talawatugoda
2500,4,3,Colombo,9,2,25500000.0,Colombo,6.8,Piliyandala
5000,7,4,Kandy,1,4,29500000.0,Kandy,10.0,Kandy City
3200,5,5,Colombo,48,2,85000000.0,Colombo,15.5,Dehiwala
2800,4,4,Colombo,37,2,28000000.0,Colombo,10.0,Athurugiriya
2800,3,3,Colombo,3,2,47000000.0,Colombo,14.0,Nugegoda
3000,3,1,Kalutara,13,2,8400000.0,Kalutara,15.0,Kalutara City
5400,3,2,Colombo,36,2,75000000.0,Colombo,10.4,Boralesgamuwa
600,2,1,Kandy,7,1,18500000.0,Kandy,1.5,Kandy City
3800,6,4,Colombo,22,3,29500000.0,Colombo,13.0,Kottawa
6000,8,7,Colombo,33,4,65000000.0,Colombo,26.0,Moratuwa
4300,5,5,Colombo,1,2,39000000.0,Colombo,13.98,Piliyandala
2200,3,3,Colombo,46,2,25000000.0,Colombo,10.0,Athurugiriya
2000,3,3,Colombo,15,2,20500000.0,Colombo,6.5,Athurugiriya
1200,3,3,Colombo,18,2,14500000.0,Colombo,6.0,Athurugiriya
2290,4,3,Colombo,3,2,21200000.0,Colombo,6.25,Battaramulla
1800,3,3,Colombo,15,2,17800000.0,Colombo,6.5,Piliyandala
4000,5,1,Galle,43,2,16000000.0,Galle,20.0,Baddegama
1800,4,2,Colombo,35,2,19800000.0,Colombo,8.0,Kotte
2089,5,3,Gampaha,7,2,25500000.0,Gampaha,13.5,Kandana
2800,4,4,Colombo,49,2,27500000.0,Colombo,11.5,Malabe
3600,4,4,Colombo,42,2,36000000.0,Colombo,10.0,Malabe
600,2,1,Colombo,46,1,3900000.0,Colombo,13.0,Homagama
2200,3,2,Colombo,23,2,25000000.0,Colombo,23.0,Piliyandala
1800,3,1,Matara,24,2,7500000.0,Matara,10.3,Matara City
2800,4,3,Colombo,7,2,24800000.0,Colombo,6.5,Piliyandala
3500,4,4,Colombo,4,2,34000000.0,Colombo,8.5,Piliyandala
2500,3,2,Kurunegala,47,2,15000000.0,Kurunegala,13.8,Kurunegala City
4900,4,2,Gampaha,6,2,70000000.0,Gampaha,20.0,Kadawatha
3500,3,1,Gampaha,35,2,4000000.0,Gampaha,90.0,Nittambuwa
1500,3,1,Colombo,34,2,89000000.0,Colombo,15.0,Homagama
1540,3,2,Colombo,43,2,12500000.0,Colombo,10.0,Homagama
1900,4,3,Colombo,36,2,19000000.0,Colombo,11.4,Malabe
1100,3,1,Colombo,7,2,79500000.0,Colombo,7.0,Homagama
1650,3,1,Colombo,32,2,12000000.0,Colombo,20.0,Homagama
1100,3,2,Colombo,41,2,14200000.0,Colombo,7.86,Malabe
3158,3,1,Colombo,9,2,7500000.0,Colombo,11.6,Homagama
4000,2,1,Gampaha,34,1,5500000.0,Gampaha,15.0,Nittambuwa
3500,3,1,Gampaha,6,2,36400000.0,Gampaha,280.0,Nittambuwa
3500,6,3,Kurunegala,19,3,24500000.0,Kurunegala,15.0,Kurunegala City
1900,4,2,Gampaha,11,2,49000000.0,Gampaha,31.0,Ragama
2750,4,2,Gampaha,8,2,16800000.0,Gampaha,12.05,Ja-Ela
1795,3,3,Colombo,46,2,21000000.0,Colombo,10.6,Piliyandala
2900,5,5,Puttalam,8,2,28000000.0,Puttalam,112.0,Chilaw
1300,3,2,Colombo,11,2,16500000.0,Colombo,7.4,Kottawa
